ID,job_title,company_name,job_location,job_description
130,Data Scientist - Modeling,Disney Streaming Services,"New York, NY","Disney Streaming Services (DSS) is creating the future of digital video entertainment products for one of the largest media brands in the world. We’re focused on delivering extraordinary experiences and distributing the incredible library of Disney content through all forms of interactive media. Our digital technology leadership and capabilities are married with a passion for crafting dynamic consumer-facing applications that integrate live and on-demand multimedia. We create great digital media products for millions of fans around the globe, and we're looking for strong performers who can help us improve what we do every day. This is an opportunity to impact experiences that will be used by millions of users worldwide.
The Data Scientist, Modeling is a critical position within DSS and in the Data organization who specializes in applying machine learning and statistical methods to develop a broad range of complex models that support business needs. You will collaborate across teams to define problems and develop modeling solutions with the Business, Product and Engineering teams.Responsibilities :Develop predictive algorithms across different areas with the aim of better understanding our customer and our business.
Translate business problems as modeling tasks that can deliver actionable insights, accurate predictions, and effective optimization.
Explain how models and systems work to both non-technical and technical stakeholders.
Collaborate with engineering teams to build modeling solutions and help integrate into the products and operational processes.
Process, cleanse, and verify the integrity of data used for analysis.
Enhance data collection procedures to include information that is relevant for creating better models.
Basic Qualifications :At least 2 years of relevant industry experience.
Demonstrated ability to present modeling results and recommendations to business and technical clients.
Demonstrated delivery of modeling solutions in production applications.
Expertise in modern statistical and machine learning algorithms.
Expertise in programming languages for data analysis and modeling (e.g., Python and R) and big data access tools.
Deep knowledge of machine learning algorithms (supervised and unsupervised learning), advanced statistics (time series forecasting, clustering algorithms, probabilistic models) and NLP (topic modeling, sentiment analysis).
Excellent communication and presentation skills.
Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate.
Graduate degree in Computer Science, Statistics, Mathematics, Engineering, Economics preferred or equivalent professional experience."
131,Academic Statistician,Noom Inc.,"New York, NY 10001 (Chelsea area)","At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. With over 1000 employees worldwide, we employ a global workforce that changes the lives of hundreds of thousands of people every day.We are looking for an Academic Statistician to join our organization and help Noom’s Research Team apply and interpret advanced statistics and solve problems that require making sophisticated decisions based on patterns in all kinds of data for studies, grants proposals, and publications.What You'll Like About Us We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.We are a data-driven company through and through.We offer a generous budget for personal development expenses like training courses, conferences, and books.You'll get three weeks' paid vacation and a flexible work policy.Delicious (and nutritious) daily lunches and snacks prepared by Sam, our NYC office on-site chef.What We'll Like About YouYou have extensive knowledge of different types of mathematical and statistical models (Maximum Likelihood Estimates and/or Complier Average Causal Effect Modeling, Mixed Linear Models, Latent Class Analysis, Partial Least Squares regression, non-parametric testing, etc.).You rock R, Mplus, SAS, and SPSS and/or others.You’ve worked with academic researchers before and understand trial protocol methodology, manuscript methods, data cleaning, and statistical analysis.You are extremely organized and attentive to detail (corrects and detects errors up to the third decimal).You have great critical thinking and problem-solving skills.You are awesome at prioritizing work: you quickly jump on statistical problems that may prevent a researcher from working efficiently.You are someone who is self-motivated and able to juggle multiple projects under tight deadlines.You have strong communication skills and an encouraging, team-focused attitude, and an ability to explain statistical underpinnings to non-technical folks.5+ years of experience, or just someone we would kick ourselves if we didn't hire.Ph.D. in statistics or related field is a plus.Job Type: Full-time"
132,Academic Statistician,Noom Inc.,"New York, NY 10001 (Chelsea area)","At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. With over 1000 employees worldwide, we employ a global workforce that changes the lives of hundreds of thousands of people every day.We are looking for an Academic Statistician to join our organization and help Noom’s Research Team apply and interpret advanced statistics and solve problems that require making sophisticated decisions based on patterns in all kinds of data for studies, grants proposals, and publications.What You'll Like About Us We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.We are a data-driven company through and through.We offer a generous budget for personal development expenses like training courses, conferences, and books.You'll get three weeks' paid vacation and a flexible work policy.Delicious (and nutritious) daily lunches and snacks prepared by Sam, our NYC office on-site chef.What We'll Like About YouYou have extensive knowledge of different types of mathematical and statistical models (Maximum Likelihood Estimates and/or Complier Average Causal Effect Modeling, Mixed Linear Models, Latent Class Analysis, Partial Least Squares regression, non-parametric testing, etc.).You rock R, Mplus, SAS, and SPSS and/or others.You’ve worked with academic researchers before and understand trial protocol methodology, manuscript methods, data cleaning, and statistical analysis.You are extremely organized and attentive to detail (corrects and detects errors up to the third decimal).You have great critical thinking and problem-solving skills.You are awesome at prioritizing work: you quickly jump on statistical problems that may prevent a researcher from working efficiently.You are someone who is self-motivated and able to juggle multiple projects under tight deadlines.You have strong communication skills and an encouraging, team-focused attitude, and an ability to explain statistical underpinnings to non-technical folks.5+ years of experience, or just someone we would kick ourselves if we didn't hire.Ph.D. in statistics or related field is a plus.Job Type: Full-time"
133,2020 PhD University Graduate - Data Scientist - Uber Eats (New York),Uber,"New York, NY 10018 (Clinton area)","At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world.
We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let’s move the world forward, together.
About the Role
Uber Everything Data Scientists help solve the most challenging problems related to Uber's ambitious and rapidly expanding on-demand delivery businesses such as Uber Eats. Come tackle fascinating and difficult problems associated with Uber's three-sided delivery marketplace, including personalized search and recommendation for restaurants and dishes, travel and food preparation time prediction, text mining and natural language processing, demand and supply forecasting, growth and spend optimization, dynamic pricing, dispatch and routing optimization, and many more. To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app sessions, trips, etc.) and unstructured (menu descriptions, food photos, support contacts, etc.) forms.
What You’ll Need
Graduate degree required with PhD preferred (with anticipated graduation in fall 2019 - spring 2020) in statistics, math, machine learning, operations research, economics, EECS, etc.
Prior research, data science modeling, or engineering experience in the aforementioned domains
Familiarity with technical tools for analysis - Python (with Pandas, etc.), R, SQL, etc.; previous software engineering background a plus
Research mindset with bias towards action - able to structure a project from idea to experimentation to prototype to implementation
Passionate and attentive self-starters, great communicators, amazing follow-through - you have a great work ethic and love the responsibility of being held accountable for the results
Bonus Points For
Experience with A/B testing
About the Team
Uber Eats Data Scientists help solve the most challenging problems related to Uber's ambitious and rapidly expanding on-demand food delivery businesses, which currently operates in more than 45 countries globally and is the largest outside of China. These fascinating and difficult problems include personalized search and recommendation for restaurants and dishes, travel and food preparation time prediction, text mining and natural language processing, demand and supply forecasting, growth and spend optimization, dynamic pricing, dispatch and routing optimization, and many more.
Below is a list of sub domains in our NYC location:
Restaurant (NYC) | The restaurant team aims to increase restaurant selection on Uber Eats while setting up restaurant partners for success. We leverage statistics and machine learning techniques to optimize the experience of restaurants at different life cycles. From onboarding, to menu creation, marketing, and order experience, we empower them with tools to increase demand and maintain a frictionless interaction with the platform.
Marketplace - Logistics and Marketplace Intelligence (NYC) | From dispatch and routing optimization to predicting food delivery time, the Logistics and & MI team provides DS solutions to create the best customer experience on all sides of the Eats marketplace in the most efficient way. The team also provides marketplace management solutions using state of the art machine learning techniques and our dispatch simulator."
134,Data Analyst,Quickframe,"New York, NY","QuickFrame exists to change the way businesses communicate with the connected world. QuickFrame has redefined the video production process so it’s cheaper, faster, and more effective to use video more frequently & dynamically.The QuickFrame team environment is fast-paced, meritocratic & collaborative. This position will be based in QuickFrame’s New York Offices, located in Hudson Yards, and will report to and work closely with our VP of Operations.Your RoleAs Data Analyst, you sit at the core of the customer and video teams and will be developing, supporting and tracking the teams’ output and processes. By measuring the efficiency of our business--and defining the tools we use along the way--you will be at the forefront of optimizing our internal and external performance, and be empowered to drive massive impact to our operations.Your ResponsibilitiesAnalyze data, develop reporting, and build dashboards to monitor the performance of teams across the companiesImplement processes, procedures and documentation to ensure all projects meet our KPI standardsWork with stakeholders across the organization to implement changes and improvements to operational processes, and encourage utilization of internal and external toolsCollaborate with team leads in the development of strategic projects that drive ongoing innovationTrain new team members on how to use our systems and processesYour Qualifications & ExperienceBachelor's degree in finance, economics, math, or statisticsExpertise in ExcelExcellent analytical and data manipulation skillsJob Type: Full-timeExperience:relevant: 1 year (Required)Education:Bachelor's (Required)Location:New York, NY (Required)Work authorization:United States (Required)Additional Compensation:CommissionBonusesWork Location:One locationBenefits:Dental insuranceHealth insuranceVision insurancePaid time off"
135,Data Scientist - Experimentation,Disney Streaming Services,"New York, NY","Disney Streaming Services (DSS) is creating the future of digital video entertainment products for one of the largest media brands in the world. We’re focused on delivering extraordinary experiences and distributing the incredible library of Disney content through all forms of interactive media. Our digital technology leadership and capabilities are married with a passion for crafting dynamic consumer-facing applications that integrate live and on-demand multimedia. We create great digital media products for millions of fans around the globe, and we're looking for strong performers who can help us improve what we do every day. This is an opportunity to impact experiences that will be used by millions of users worldwide.
The Data Scientist, Experimentation is a critical position within DSS and in the Data organization to apply advanced statistical methods to design and analyze A/B experimentations for product and algorithm/model changes. We make product and business decisions based on what we learned from A/B testing. Therefore, it is essential to ask the right questions and measure the right things to answer them.Responsibilities :Develop sampling and allocation methodology for experimentations.
Design and analyze A/B experimentations for product and algorithm/model changes.
Create actionable metrics and design effective experiments.
Explain experimentation results to both non-technical and technical stakeholders.
Collaborate with engineering teams to improve the experimentation pipeline and platform.
Process, cleanse, and verify the integrity of data used for analysis.
Basic Qualifications :At least 2 years of relevant industry experience.
Demonstrated ability to design, analyze and present A/B experimentation results and recommendations to business and technical clients.
Strong statistics knowledge and experience to strengthen the validity of A/B tests, including statistical distributions and testing/sampling methodologies.
Expertise in programming languages for data processing and analysis (e.g., Python and R) and big data access tools.
Extensive background in statistical methods and data mining
Excellent communication and presentation skills.
Graduate degree in Statistics, Mathematics, Economics, Computer Science preferred, or equivalent professional experience."
136,"Data Research Scientist, Brooklyn Neighborhood Health Action Center",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Brooklyn, NY 11221 (Bushwick area)","The Center for Health Equity aligns efforts in advancing health equity across the City and ensures that we deploy resources to reduce health and mental hygiene disparities across all neighborhoods in NYC. The Center works in collaboration with community-based partners, building on work the District Public Health Offices and others have pursued over the years. The Center focuses on these key areas: leveraging community assets to better integrate primary care and public health to serve the health needs of communities; building inter-agency collaboration to implement multi-sectorial approach to addressing the root causes of health disparities; and increasing organizational capacity that strengthens the agency's lens of addressing health equity.
DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:As a member of the Research and Evaluation Unit, the Data Research Analyst will assist in the research and evaluation activities for the Neighborhood Health Action Centers. The selected candidate will perform the following duties under the direction of the Director of Research and Evaluation:
Assist in the development of research and evaluation activities necessary to implement and improve the Division's primary community-facing initiative, the Neighborhood Health Action Centers, including conducting literature reviews, developing logic models and evaluation tracking tools, conducting health impact assessments, and summarizing program evaluation findings for a variety of audiences.
Develop guidance documents and training materials for conducting health impact assessments and incorporating social determinants of health into our work, using a racial equity and social justice lens.Analyze and summarize data regarding prevalence of disease as well as social determinants of health and health inequities using SAS and/or R to support and guide strategic planning and community-based efforts.Coordinate and participate in field activities including data collection and data management around community surveys. Conduct trainings for staff and interns.
Support qualitative research activities as needed.Respond to internal and external data requests.Prepare summary tables, figures, maps and draft reports to present findings for publication and presentation to the public and other public health professionals.
Present and report public health data and research findings to community leaders, key stakeholders and residents.Ensure that all research and evaluation projects and products have a health equity focus.
Supervise student interns working on research and evaluation-related projects.

â€¢ Perform other tasks based on the Neighborhood Health Action Center needs.
Minimum Qual Requirements
1. For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.

To be appointed to Assignment Level II and above, candidates must have:

1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or

2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or

3. Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ""2"" above. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above.

NOTE:

Probationary Period

Appointments to this position are subject to a minimum probationary period of one year.
Preferred Skills
Experience using SAS and/or R programming for analysis; adept with data management systems, Microsoft Excel, Access and PowerPoint; keen ability to prioritize and handle multiple assignments; ability to work closely with all levels of staff inside and outside the Agency; ability to work independently and exercise a high degree of initiative to accomplish tasks and solve problems; experience conducting trainings; MPH highly desirable; experience with GIS and fluency communicating in Spanish highly desirable.
To Apply
Apply online with a cover letter to https://a127-jobs.nyc.gov/. In the Job ID search bar, enter: job ID number # 414914.
We appreciate the interest and thank all applicants who apply, but only those candidates under consideration will be contacted.
The NYC Health Department is committed to recruiting and retaining a diverse and culturally responsive workforce. We strongly encourage people of color, people with disabilities, veterans, women, and lesbian, gay, bisexual, and transgender and gender non-conforming persons to apply.
All applicants will be considered without regard to actual or perceived race, color, national origin, religion, sexual orientation, marital or parental status, disability, sex, gender identity or expression, age, pri
Residency Requirement
New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
137,Data Scientist (1801),IBKR,"New York, NY",#NAME?
138,Data Scientist – Personalization,Spotify,"New York, NY 10011 (Chelsea area)","We are seeking a Data Scientist to join our Product Insights team, focusing on Personalization. We have several roles open across different levels of seniority.

The Personalization team makes deciding what to play next on Spotify easier and more enjoyable for every listener. We seek to understand the world of music and podcasts better than anyone else so that we can make great recommendations to every individual person and keep the world listening.

Everyday, hundreds of millions of people all over the world use the products we build which include destinations like “Home” and “Search” as well as original playlists such as “Discover Weekly” and “Daily Mix.” We’re a team of technologists, product insight experts, designers, and product managers in Boston, New York, Stockholm, and London.

You will be solving complex data problems and delivering the insight that helps to define our understanding of music, audio and our listeners to develop how we personalize at Spotify. This role works closely with a multidisciplinary team of data scientist, user researchers, data engineers, product teams and designers.

Your work will impact the way the world experiences music and audio!

What you’ll do:
Develop research questions and undertake data exploration to understand who our listeners are, how they get value out of Spotify, and where we can develop our product to bring greater value
Work closely with the team including data engineering to build lasting solutions to our data modeling
Design, analyze, and interpret the results of experiments
Perform exploratory analyses to understand the performance of our machine learning systems
Define, evaluate, dashboard and monitor key metrics, understanding root causes of changes
Contribute to the development of the Product Insights function and the wider analytics community at Spotify
Mentor and coach other data scientists
Work from our office in New York
Who you are:
You will have 2 to 5 years relevant applied experience with a degree or higher in economics, psychology, computer science, statistics, or mathematics or another quantitative discipline
Technical competence to perform advanced analytics:
Coding skills (such as R, Python, or Scala)
Experience with analytics & visualization tools (SQL, Tableau, ggplot/matplotlib or equivalent)
Experience performing analysis with large datasets
You have strong statistical understanding of online testing methodologies and metric development
You are an independent thinker, able to work autonomously, capable of taking on loosely defined problems and translating complex thinking into practical application for diverse audiences
You are a communicative person who values building strong relationships with colleagues and partners and enjoys mentoring and teaching others"
139,Data Scientist - Modeling,Disney Streaming Services,"New York, NY","Disney Streaming Services (DSS) is creating the future of digital video entertainment products for one of the largest media brands in the world. We’re focused on delivering extraordinary experiences and distributing the incredible library of Disney content through all forms of interactive media. Our digital technology leadership and capabilities are married with a passion for crafting dynamic consumer-facing applications that integrate live and on-demand multimedia. We create great digital media products for millions of fans around the globe, and we're looking for strong performers who can help us improve what we do every day. This is an opportunity to impact experiences that will be used by millions of users worldwide.
The Data Scientist, Modeling is a critical position within DSS and in the Data organization who specializes in applying machine learning and statistical methods to develop a broad range of complex models that support business needs. You will collaborate across teams to define problems and develop modeling solutions with the Business, Product and Engineering teams.Responsibilities :Develop predictive algorithms across different areas with the aim of better understanding our customer and our business.
Translate business problems as modeling tasks that can deliver actionable insights, accurate predictions, and effective optimization.
Explain how models and systems work to both non-technical and technical stakeholders.
Collaborate with engineering teams to build modeling solutions and help integrate into the products and operational processes.
Process, cleanse, and verify the integrity of data used for analysis.
Enhance data collection procedures to include information that is relevant for creating better models.
Basic Qualifications :At least 2 years of relevant industry experience.
Demonstrated ability to present modeling results and recommendations to business and technical clients.
Demonstrated delivery of modeling solutions in production applications.
Expertise in modern statistical and machine learning algorithms.
Expertise in programming languages for data analysis and modeling (e.g., Python and R) and big data access tools.
Deep knowledge of machine learning algorithms (supervised and unsupervised learning), advanced statistics (time series forecasting, clustering algorithms, probabilistic models) and NLP (topic modeling, sentiment analysis).
Excellent communication and presentation skills.
Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate.
Graduate degree in Computer Science, Statistics, Mathematics, Engineering, Economics preferred or equivalent professional experience."
140,Data Scientist,Public Goods,"New York, NY","Public Goods' mission is to make premium-quality, healthy products affordable to everyone.
We are growing very fast, and are looking for a data scientist to extract, aggregate, visualize and analyze company data to help inform strategy.
You Will
Extract actionable insights, trends and patterns from our KPIs.
Create new data pipelines and models based on strategic needs.
Improve and optimize existing data structures.
Analyze B2C data to identify opportunities for improvement.
Translate large data sets into presentable dashboards for the rest of the team.
You Are
At home in the field of e-commerce and consumer packaged goods.
Proficient with a variety of data visualizers such as Tableau and Looker.
Experienced with SQL, Redshift, S3, and Lambda.
An excellent and patient communicator.
Comfortable working with a small team.
A believer in data-driven business strategy.
We Offer
Competitive salary with options package.
Full dental and medical.
Quickly growing environment with kind, passionate people.
Public Goods provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression."
141,"Internship Data Scientist, Product Analytics, Analytics",Criteo,"New York, NY 10011 (Chelsea area)","Who we are
At Criteo, we are building the advertising platform of choice for the open Internet, an ecosystem that favors neutrality, transparency and inclusiveness. With more than 1.4 billion active shoppers and $600 billion in annual commerce sales, we deliver performance at scale. Founded in a Paris start-up incubator, Criteo now carries out our entrepreneurial spirit across 30+ global offices. Do you want to have an impact on more than half of the world’s internet users? Join us and be part of something big.
We are innovative, passionate and result-driven. We are an interdisciplinary team, leveraging the strengths of engineers and scientists.
The Data Science - Product Analytics team uses cutting edge technology, advanced statistics and machine learning to understand the most complex business problems at Criteo. We are committed to designing and building technical solutions to drive Criteo’s development and keep up with a fast-evolving product landscape.
We serve as trusted partners to leadership and work closely with PMs, R&D, Finance or Business teams.

Inside Data Science - Product Analytics:
Find new ways to optimize the bidding strategy
Optimize our capability to recognize users across all their devices and their interactions in the open-internet
Define, drive and analyze results of A/B tests to assess whether online performance is in line with offline simulations
Provide data-driven insights to ensure Criteo remains one step ahead of competitive threats
Identify and size development opportunities for new products
What will you do?
You enjoy solving real-world problems with data.
You will be assigned to one or several projects.
Mine large data sets and turn them into understandable and actionable insights
Build scalable analytic solutions using state of the art tools based on large and granular datasets
Design and execute a stream of analysis and tests to measure the impact of your solutions
Master our internal analytic datasets and reporting tools
Who are you?
Last year of Master’s degree or higher in a quantitative field (Mathematics, Computer Science, Physics, Engineering, Economics,etc.)
Internship of a minimum of 6 months
Outstanding analytical skills and creative thinking
Fluency in the core toolkit of Data Science:
R/Python; SQL/Hive
Manipulating large-scale data sets
Building data pipelines
Descriptive and predictive modelling
Implementing visualizations, dashboards, and reports
Excellent interpersonal and communication skills, pro-active and independent
Fun to work with!"
142,Data Analyst/Data Scientist (2020 Start) - Analytics - Multioffice,Charles River Associates,"New York, NY 10018 (Clinton area)","Data Analyst and Data Scientist - New York, NY, Summit, NJ or San Francisco, CA

About Charles River Associates

Charles River Associates is a leading global consulting firm that provides independent economic and financial analysis behind litigation matters, guides businesses through critical strategy and operational issues to become more profitable, and advises governments on the economic impact of policies and regulations. Our two main services – litigation and management consulting – are delivered by practice groups that focus on specific areas of expertise or industries. Learn more about how CRA can help you Accelerate ( http://www.crai.com/careers/build ) your career.

CRA's Life Sciences ( http://www.crai.com/careers/practices/life-sciences ) practice helps pharmaceutical, biotechnology, diagnostics and medical device companies achieve optimum performance across key aspects of their business, including innovation, commercial success, organization, and reputation, all for the long-term benefit of patients, clinicians, employees, and shareholders. We work with life sciences businesses directly as well as with their legal counsel, industry associations, government organizations, and advocacy groups from the earliest stages of research into new therapy areas, through product development, to the delivery of products that will achieve commercial success and fulfill the expectations of our clients and their key stakeholders.

Essential Functions

As part of Analytics Center of Excellence (COE), the Data Analyst and Data Scientist roles are important to CRA's project teams. You will work closely with internal business consultants and/or clients to solve interesting analytical problems for our clients in areas including commercial strategy, pricing & market access and litigation. In these roles, you will apply your coding and modelling skills, own and personally deliver components of the client engagement, contributing to the overall success of each project. At CRA, we offer a wide range of models/project types, e.g. Patient Journey, Physician Segmentation, Promotional Response Modelling, Forecasting, Web Scraping, etc. As you demonstrate strong analytic and develop sound project management skills, your responsibilities will grow rapidly.

Data Analyst
Candidates possessing a Masters degree or the equivalent work experience will be considered for the Data Analyst role
Data Analysts will generally be key contributors to project teams, focusing on data manipulation, modeling, and delivery of analysis results
Data Analysts who demonstrate strong performance and ability to take on additional responsibility may rapidly ascend to the Data Scientist role

Data Scientist
Candidates with a Masters degree plus 2 years of relevant work experience OR a PhD may be considered for the Data Scientist role
Data Scientists are generally key contributors to both the content and design of analyses, and will often lead project teams and manage key analytics work streams
Candidates with additional relevant experience may be considered for more senior positions, such as Senior Data Scientist

Responsibilities
Import, clean, manipulate and analyse large volume of data ( >100MM records) to develop critical insights for our clients' issues, using SAS, SQL or other tools
Build statistical and machine learning models to detect patterns and investigate important drivers, e.g. regression, Random Forest, Neural Network, clustering, Bayesian, etc., using SAS, R, Python or other specialized tools (e.g. LatentGold, SPSS)
Perform text mining and web scraping from online data sources using NLP-relevant packages in Python
Apply critical perspective across multiple clients and industry data sources (PharMetrics, Truven MarketScan, XPONENT, etc.)
Communicate findings, through visuals, data tables and models, from your analyses to internal team members and, over time, to clients
Work in a demanding but highly collegial and collaborative environment
This is NOT a technical IT role

Qualifications
Master degree or above, preferably in Statistics, Mathematics, Machine Learning, Computer Science or mathematically-intensive field
Ability to proficiently process and manipulate data in SQL, SAS, R or Python
Experience in developing advanced models such as multi-variate regression, neural networks, support vector machines, decision trees, clustering and time series using tools such as R and Python
Demonstrate good written and verbal communication skills. Able to present information to various audiences
Ability to work collaboratively in a team environment and effectively with people at all levels in an organization
Ability to provide creative solutions to non-standard analytical problems
Experience in data visualization using Power BI, Tableau, D3.js, Qlik Sense, HTML/JavaScript is a plus
Knowledge or experience related to pharmaceutical industry and data (e.g. PharMetrics, Truven, Symphony, Optum, Xponent PlanTrak, DDD) is a plus
Knowledge of any of the following: Natural Language Processing & Text Mining, Experimental Design, Bayesian Networks, Network/Graph Mining is a plus
Candidates with different, specific expertise in broader analytics area (e.g. Data Engineering, Social Listening, Optimization, Simulation) are welcome to apply"
143,Senior Data Scientist,HVH Precision Analytics,"New York, NY","Job Description: Data science professional to design, implement and deployadvanced machine learning / artificial intelligence algorithms across multipledomains including, but not limited to healthcare, media, programmable ads,retail, and manufacturing. These analysis tasks will involve developingoriginal code and leveraging HVH’s existing healthcare analytics platform toprovide analytic content in support of HVH project work, RFP responses andother business needs. This professionalwill be a member of HVH’s analytics team.Job Requirements: Act in a supervisory role to junior analyst(s)/data scientist(s)Apply data mining and machine learning techniques and models to extract analytic insights from healthcare and non-healthcare data setsResponsible for review, generation, and delivery of analytic products in support of project work, RFP responses and other business needsSupport/supervise the development of visualizations of client deliverablesDevelop software solutions using Python, and/or RInterface with other HVH analysts and data scientists, HVH program managers and members of the medical team and with HVH customersRespond to additional ad-hoc analysis requestsRequired SkillsThe skillsrequired for this position are listed below:Degree in any of the following majors: Engineering, Computer Science, Mathematics, Bioinformatics, PhysicsMinimum 3 years experience, with a BS/MS degree in one of the above listed majorsWorks independently and is a self-starterMS PowerPoint presentation development skillsClient interface and presentationskillsProficiency in the following programming and analysis tools:Visualization toolsPython (pandas, scikit-learn, Numpy, Scipy, and database access packages)SQL / (MySQL)AWS (Redshift)Microsoft ExcelRMS PowerPointLinux (Red Hat, CentOS); Python and software development in a Linux environment * Consideration will be given to priorpublications, independent software projects completed, and non-proprietary codeauthored by the candidateJob Type: Full-timeExperience:Bioinformatics: 3 years (Required)AWS: 3 years (Required)Engineering: 3 years (Required)Computer Science: 3 years (Required)Python: 3 years (Required)Linux: 3 years (Required)Location:New York, NY (Required)Work Location:One locationThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborative"
144,Enterprise Data - Quant Researcher (Machine Learning),Bloomberg,"New York, NY","We're Bloomberg Enterprise Data - fast paced, innovative and expanding. We have worked hard and smart to become the $1bn business we are today. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. Our endless selection of datasets, covering all asset types, with multiple delivery technologies and flexible scheduling mean our clients are able to get exactly the data they need, when they need it, in the format they prefer. Without us, they simply can't operate. Firms that commit to utilizing only highest-quality data can eliminate the data inconsistencies inherent to working with multiple vendors and lower their costs overall. A partnership with Bloomberg Enterprise Data allows just this, giving them strategic advantage.What's the Role?
Enterprise Data Quant Researcher to will apply cutting edge machine learning techniques to financial modeling problems by leveraging the large and varied datasets within Bloomberg Enterprise Data.In this role you will:
Be responsible for conducting statistical analysis, developing machine learning methodologies, model estimation and overseeing part of the research activities
Explore current academia and market best practices in machine learning approaches
Assesses quality controls around different approaches as well as suggesting new approaches in research
Work cross functionally with Product Managers, Senior Leaders in Enterprise Data, Engineering, and other Quant Research teams
You'll need to have:
Advanced degree in an applied numerical field: Physics, Mathematics, Statistics, Computer Science, Operations Research, etc.
Strong quantitative analysis, programming, and statistical modeling skills
2+ years of machine learning experience in a professional role
Technical skills: Must be proficient in Python and familiar with distributed computing frameworks (e.g., Spark). Scala is a plus, but not required
The ability to show special attention to data integrity and robustness of various models, a rigorous scientific/statistical approach and a complete technical background
Experience in taking on independent research and developing end-to-end modeling solutions to real word problems
Track record of gathering, matching, and processing large data sets from varied sources and of different characteristics. Analysis on mixed features: continuous and categorical that may be noisy or corrupted.
Solid understanding of different machine learning techniques: dimensionality reduction, representation learning, generative modeling, transfer learning, and missing value imputation
Strong communication skills both written and spoken
We'd love to see:
Financial industry experience
Natural language processing
If this sounds like you:
Apply if you think we're a good match and we'll get in touch with you to let you know next steps."
